Employee ID,Gender,Job Level,Performance Rating,PromotionChance,Department,FTE group,Time type,Time in Job Level,Age,Nationality,Last hire date,Years since last hire,Position,Salary,Fiscal Year,State,MaritalStatus,RecruitmentSource,PerformanceScore,EngagementSurvey,EmployeeSatisfaction,DateOfBirth
324,Male,2 - Director,0,No,Internal Services,1.0,Full Time,2,36,Switzerland,2013-04-01,8,2,4170,21,MA,Married,LinkedIn,,4.102447552447552,3.87995337995338,07/12/1961
389,Male,6 - Junior Officer,0,No,Operations,1.0,Full Time,4,21,Switzerland,2017-04-01,4,6,1400,21,MA,Single,Google Search,,4.102447552447552,3.87995337995338,05/23/1980
433,Male,2 - Director,0,No,Operations,1.0,Full Time,4,38,Switzerland,2017-04-01,4,2,4170,21,MA,Married,LinkedIn,,4.102447552447552,3.87995337995338,11/02/1964
409,Female,6 - Junior Officer,0,No,Sales & Marketing,1.0,Full Time,6,25,Switzerland,2015-04-01,6,6,1400,21,MA,Single,LinkedIn,,4.102447552447552,3.87995337995338,04/15/1961
390,Male,6 - Junior Officer,0,No,Internal Services,1.0,Full Time,3,25,Switzerland,2018-04-01,3,6,1400,21,MA,Single,Google Search,,4.102447552447552,3.87995337995338,01/02/1966
377,Female,6 - Junior Officer,0,No,Strategy,1.0,Full Time,4,25,Switzerland,2017-04-01,4,6,1410,21,MA,Single,Indeed,,4.102447552447552,3.87995337995338,06/13/1965
371,Male,6 - Junior Officer,0,No,Operations,1.0,Full Time,2,27,Switzerland,2019-04-01,2,6,1410,21,MA,Single,CareerBuilder,,4.102447552447552,3.87995337995338,03/01/1962
327,Male,4 - Manager,0,No,Sales & Marketing,1.0,Full Time,2,41,Switzerland,2014-04-01,7,4,2100,21,MA,Married,Google Search,,4.102447552447552,3.87995337995338,05/26/1986
489,Male,4 - Manager,0,No,Operations,1.0,Full Time,1,31,Switzerland,2020-04-01,1,4,2100,21,MA,Married,CareerBuilder,,4.102447552447552,3.87995337995338,10/29/1964
478,Female,6 - Junior Officer,0,No,Operations,1.0,Full Time,1,26,Switzerland,2020-04-01,1,6,1410,21,MA,Single,Indeed,,4.102447552447552,3.87995337995338,11/02/1973
393,Male,5 - Senior Officer,0,No,Operations,1.0,Full Time,4,29,Switzerland,2011-04-01,10,5,1700,21,MA,Single,LinkedIn,,4.102447552447552,3.87995337995338,10/29/1960
495,Female,6 - Junior Officer,0,No,Operations,1.0,Full Time,4,23,Switzerland,2017-04-01,4,6,1420,21,MA,Single,Google Search,,4.102447552447552,3.87995337995338,11/17/1964
431,Male,4 - Manager,0,No,Operations,1.0,Full Time,3,34,Switzerland,2018-04-01,3,4,2110,21,MA,Single,CareerBuilder,,4.102447552447552,3.87995337995338,10/31/1961
462,Male,3 - Senior Manager,0,No,Operations,1.0,Full Time,4,40,Switzerland,2016-04-01,5,3,2820,21,MA,Married,LinkedIn,,4.102447552447552,3.87995337995338,11/27/1985
397,Male,4 - Manager,0,No,Sales & Marketing,1.0,Full Time,1,33,Switzerland,2020-04-01,1,4,2120,21,MA,Married,Other,,4.102447552447552,3.87995337995338,05/23/1981
444,Male,5 - Senior Officer,0,No,Sales & Marketing,1.0,Full Time,2,25,Switzerland,2015-04-01,6,5,1710,21,MA,Married,Employee Referral,,4.102447552447552,3.87995337995338,05/21/1965
361,Male,3 - Senior Manager,0,No,Internal Services,1.0,Full Time,5,39,Switzerland,2011-04-01,10,3,2820,21,MA,Married,Google Search,,4.102447552447552,3.87995337995338,02/04/1984
405,Male,1 - Executive,0,No,Strategy,1.0,Full Time,6,48,Switzerland,2012-04-01,9,1,8370,21,MA,Single,Indeed,,4.102447552447552,3.87995337995338,11/30/1972
473,Female,3 - Senior Manager,0,No,Operations,1.0,Full Time,4,50,Switzerland,2012-04-01,9,3,2830,21,MA,Single,LinkedIn,,4.102447552447552,3.87995337995338,04/20/1967
345,Female,6 - Junior Officer,0,No,Sales & Marketing,1.0,Full Time,4,23,Switzerland,2017-04-01,4,6,1440,21,MA,Single,Indeed,,4.102447552447552,3.87995337995338,12/05/1961
347,Male,3 - Senior Manager,0,No,Operations,1.0,Full Time,4,49,Switzerland,2014-04-01,7,3,2830,21,MA,Married,Google Search,,4.102447552447552,3.87995337995338,04/06/1976
490,Male,3 - Senior Manager,0,No,Finance,1.0,Full Time,1,34,Switzerland,2020-04-01,1,3,2840,21,MA,Married,Indeed,,4.102447552447552,3.87995337995338,01/16/1961
416,Male,3 - Senior Manager,0,No,Strategy,1.0,Full Time,3,40,Switzerland,2012-04-01,9,3,2840,21,MA,Married,Indeed,,4.102447552447552,3.87995337995338,03/22/1966
465,Male,3 - Senior Manager,0,No,Sales & Marketing,1.0,Full Time,3,34,Switzerland,2014-04-01,7,3,2840,21,MA,Single,LinkedIn,,4.102447552447552,3.87995337995338,08/28/1957
332,Male,6 - Junior Officer,0,No,Operations,1.0,Full Time,3,22,Switzerland,2018-04-01,3,6,1450,21,MA,Single,LinkedIn,,4.102447552447552,3.87995337995338,06/02/1963
488,Female,6 - Junior Officer,0,No,Sales & Marketing,1.0,Full Time,2,27,Switzerland,2019-04-01,2,6,1450,21,MA,Married,Diversity Job Fair,,4.102447552447552,3.87995337995338,03/30/1991
480,Male,3 - Senior Manager,0,No,Sales & Marketing,1.0,Full Time,1,39,Switzerland,2020-04-01,1,3,2850,21,MA,Single,Google Search,,4.102447552447552,3.87995337995338,12/10/1958
339,Female,4 - Manager,0,No,Sales & Marketing,1.0,Full Time,4,36,Switzerland,2016-04-01,5,4,2150,21,MA,Single,CareerBuilder,,4.102447552447552,3.87995337995338,08/06/1957
474,Male,4 - Manager,0,No,Sales & Marketing,1.0,Full Time,4,34,Switzerland,2013-04-01,8,4,2160,21,MA,Widowed,LinkedIn,,4.102447552447552,3.87995337995338,07/24/1982
457,Male,4 - Manager,0,No,Sales & Marketing,1.0,Full Time,4,32,Switzerland,2013-04-01,8,4,2160,21,MA,Single,Google Search,,4.102447552447552,3.87995337995338,12/11/1977
394,Male,4 - Manager,0,No,Operations,1.0,Full Time,6,35,Switzerland,2013-04-01,8,4,2160,21,MA,Married,Indeed,,4.102447552447552,3.87995337995338,11/26/1989
323,Male,5 - Senior Officer,0,No,Sales & Marketing,1.0,Full Time,4,25,Switzerland,2017-04-01,4,5,1740,21,MA,Married,LinkedIn,,4.102447552447552,3.87995337995338,05/05/1979
322,Female,3 - Senior Manager,0,No,Internal Services,1.0,Full Time,4,44,Switzerland,2016-04-01,5,3,2860,21,MA,Married,LinkedIn,,4.102447552447552,3.87995337995338,01/22/1988
424,Female,6 - Junior Officer,0,No,Operations,1.0,Full Time,1,23,Switzerland,2020-04-01,1,6,1460,21,MA,Married,Google Search,,4.102447552447552,3.87995337995338,09/02/1959
410,Male,5 - Senior Officer,0,No,Sales & Marketing,1.0,Full Time,1,28,Switzerland,2020-04-01,1,5,1740,21,MA,Single,Employee Referral,,4.102447552447552,3.87995337995338,01/25/1975
381,Male,6 - Junior Officer,0,No,Finance,1.0,Full Time,3,24,Switzerland,2018-04-01,3,6,1470,21,MA,Married,LinkedIn,,4.102447552447552,3.87995337995338,01/17/1979
477,Female,1 - Executive,0,No,Internal Services,1.0,Full Time,7,45,Switzerland,2014-04-01,7,1,8410,21,MA,Widowed,LinkedIn,,4.102447552447552,3.87995337995338,03/23/1954
449,Male,6 - Junior Officer,0,No,Operations,1.0,Full Time,4,20,Switzerland,2017-04-01,4,6,1480,21,MA,Married,Website,,4.102447552447552,3.87995337995338,07/27/1989
407,Male,2 - Director,0,No,Internal Services,1.0,Full Time,4,62,Switzerland,2015-04-01,6,2,4260,21,MA,Single,LinkedIn,,4.102447552447552,3.87995337995338,07/16/1988
356,Male,4 - Manager,0,No,Sales & Marketing,1.0,Full Time,4,33,Switzerland,2017-04-01,4,4,2170,21,MA,Single,Diversity Job Fair,,4.102447552447552,3.87995337995338,08/24/1977
448,Male,3 - Senior Manager,0,No,Operations,1.0,Full Time,4,34,Switzerland,2015-04-01,6,3,2870,21,MA,Married,Indeed,,4.102447552447552,3.87995337995338,10/15/1988
460,Male,4 - Manager,0,No,Sales & Marketing,1.0,Full Time,3,33,Switzerland,2015-04-01,6,4,2170,21,ID,Single,Indeed,,4.102447552447552,3.87995337995338,04/29/1957
430,Male,5 - Senior Officer,0,No,Sales & Marketing,1.0,Full Time,4,28,Switzerland,2016-04-01,5,5,1760,21,MA,Separated,Indeed,,4.102447552447552,3.87995337995338,04/15/1963
331,Female,6 - Junior Officer,0,No,Sales & Marketing,1.0,Full Time,4,25,Switzerland,2017-04-01,4,6,1490,21,MA,Married,Other,,4.102447552447552,3.87995337995338,10/14/1974
408,Male,5 - Senior Officer,0,No,Sales & Marketing,1.0,Full Time,6,27,Switzerland,2015-04-01,6,5,1770,21,MA,Single,Indeed,,4.102447552447552,3.87995337995338,07/05/1976
461,Female,6 - Junior Officer,0,No,Operations,1.0,Full Time,3,29,Switzerland,2018-04-01,3,6,1500,21,MA,Married,Google Search,,4.102447552447552,3.87995337995338,09/14/1974
453,Male,2 - Director,0,No,Sales & Marketing,1.0,Full Time,5,40,Switzerland,2012-04-01,9,2,4270,21,MA,Married,LinkedIn,,4.102447552447552,3.87995337995338,04/27/1955
435,Female,3 - Senior Manager,0,No,HR,1.0,Full Time,6,40,Switzerland,2011-04-01,10,3,2900,21,MA,Divorced,Other,,4.102447552447552,3.87995337995338,10/31/1952
368,Male,5 - Senior Officer,0,No,Sales & Marketing,1.0,Full Time,1,30,Switzerland,2020-04-01,1,5,1780,21,MA,Single,Employee Referral,,4.102447552447552,3.87995337995338,11/17/1967
333,Male,6 - Junior Officer,0,No,Sales & Marketing,1.0,Full Time,2,27,Switzerland,2019-04-01,2,6,1510,21,MA,Single,Diversity Job Fair,,4.102447552447552,3.87995337995338,12/01/1986
482,Male,3 - Senior Manager,0,No,Operations,1.0,Full Time,4,40,Switzerland,2011-04-01,10,3,2900,21,MA,Single,Indeed,,4.102447552447552,3.87995337995338,07/21/1980
357,Female,6 - Junior Officer,0,No,Operations,1.0,Full Time,4,28,Switzerland,2017-04-01,4,6,1510,21,MA,Widowed,Indeed,,4.102447552447552,3.87995337995338,05/30/1952
337,Male,2 - Director,0,No,Strategy,1.0,Full Time,5,44,Switzerland,2016-04-01,5,2,4280,21,MA,Single,LinkedIn,,4.102447552447552,3.87995337995338,03/31/1958
380,Female,6 - Junior Officer,0,No,Sales & Marketing,1.0,Full Time,4,23,Switzerland,2017-04-01,4,6,1510,21,MA,Single,Indeed,,4.102447552447552,3.87995337995338,04/25/1970
454,Male,4 - Manager,0,No,Operations,1.0,Full Time,4,35,Switzerland,2016-04-01,5,4,2210,21,MA,Married,Diversity Job Fair,,4.102447552447552,3.87995337995338,01/30/1952
472,Male,6 - Junior Officer,0,No,Internal Services,1.0,Full Time,3,24,Switzerland,2018-04-01,3,6,1510,21,MA,Single,Indeed,,4.102447552447552,3.87995337995338,05/23/1959
365,Male,4 - Manager,0,No,Sales & Marketing,1.0,Full Time,3,32,Switzerland,2011-04-01,10,4,2210,21,MA,Single,Indeed,,4.102447552447552,3.87995337995338,04/24/1967
492,Male,2 - Director,0,No,Sales & Marketing,1.0,Full Time,4,43,Switzerland,2012-04-01,9,2,4300,21,VT,Single,Indeed,,4.102447552447552,3.87995337995338,07/06/1968
341,Female,6 - Junior Officer,0,No,Sales & Marketing,1.0,Full Time,1,27,Switzerland,2020-04-01,1,6,1520,21,TN,Separated,LinkedIn,,4.102447552447552,3.87995337995338,08/17/1985
373,Male,4 - Manager,0,No,Operations,1.0,Full Time,3,35,Switzerland,2012-04-01,9,4,2210,21,MA,Single,Google Search,,4.102447552447552,3.87995337995338,08/04/1988
417,Male,3 - Senior Manager,0,No,Operations,1.0,Full Time,3,37,Switzerland,2018-04-01,3,3,2910,21,MA,Single,LinkedIn,,4.102447552447552,3.87995337995338,03/28/1981
413,Male,2 - Director,0,No,Internal Services,1.0,Full Time,6,47,Switzerland,2013-04-01,8,2,4300,21,MA,Single,Diversity Job Fair,,4.102447552447552,3.87995337995338,08/08/1961
352,Male,5 - Senior Officer,0,No,Sales & Marketing,1.0,Full Time,2,30,Switzerland,2019-04-01,2,5,1810,21,MA,Divorced,LinkedIn,,4.102447552447552,3.87995337995338,07/11/1967
446,Male,2 - Director,0,No,Sales & Marketing,1.0,Full Time,7,42,Switzerland,2014-04-01,7,2,4310,21,MA,Married,LinkedIn,,4.102447552447552,3.87995337995338,10/14/1976
500,Male,3 - Senior Manager,0,No,Sales & Marketing,1.0,Full Time,10,40,Switzerland,2011-04-01,10,3,2920,21,MA,Separated,Diversity Job Fair,,4.102447552447552,3.87995337995338,11/05/1981
366,Female,5 - Senior Officer,0,No,Finance,1.0,Full Time,4,35,Switzerland,2017-04-01,4,5,1810,21,MA,Married,Website,,4.102447552447552,3.87995337995338,05/27/1982
317,Female,5 - Senior Officer,0,No,Operations,1.0,Full Time,6,29,Switzerland,2015-04-01,6,5,1810,21,MA,Divorced,Google Search,,4.102447552447552,3.87995337995338,01/06/1969
343,Female,1 - Executive,0,No,HR,1.0,Full Time,3,48,Switzerland,2017-04-01,4,1,8470,21,MA,Married,Diversity Job Fair,,4.102447552447552,3.87995337995338,06/27/1968
447,Female,6 - Junior Officer,0,No,Sales & Marketing,1.0,Full Time,4,25,Switzerland,2017-04-01,4,6,1530,21,MA,Separated,Google Search,,4.102447552447552,3.87995337995338,04/23/1968
376,Male,3 - Senior Manager,0,No,Sales & Marketing,1.0,Full Time,2,35,Switzerland,2017-04-01,4,3,2920,21,MA,Single,Diversity Job Fair,,4.102447552447552,3.87995337995338,06/12/1966
